Day,Date,GDP q/q,Normalized,Predicted
0,1948-03-31,0.062,21.35,
30,1948-04-30,0.062,21.35,
61,1948-05-31,0.062,21.35,
91,1948-06-30,0.068,25.84,
122,1948-07-31,0.068,25.84,
153,1948-08-31,0.068,25.84,
183,1948-09-30,0.023,-7.87,
214,1948-10-31,0.023,-7.87,
244,1948-11-30,0.023,-7.87,
275,1948-12-31,0.004,-22.1,
306,1949-01-31,0.004,-22.1,
334,1949-02-28,0.004,-22.1,
365,1949-03-31,-0.054,-65.54,
395,1949-04-30,-0.054,-65.54,
426,1949-05-31,-0.054,-65.54,
456,1949-06-30,-0.014,-35.58,
487,1949-07-31,-0.014,-35.58,
518,1949-08-31,-0.014,-35.58,
548,1949-09-30,0.042,6.37,
579,1949-10-31,0.042,6.37,
609,1949-11-30,0.042,6.37,
640,1949-12-31,-0.033,-49.81,
671,1950-01-31,-0.033,-49.81,
699,1950-02-28,-0.033,-49.81,
730,1950-03-31,0.167,100.0,
760,1950-04-30,0.167,100.0,
791,1950-05-31,0.167,100.0,
821,1950-06-30,0.128,70.79,
852,1950-07-31,0.128,70.79,
883,1950-08-31,0.128,70.79,
913,1950-09-30,0.164,97.75,
944,1950-10-31,0.164,97.75,
974,1950-11-30,0.164,97.75,
1005,1950-12-31,0.079,34.08,
1036,1951-01-31,0.079,34.08,
1064,1951-02-28,0.079,34.08,
1095,1951-03-31,0.055,16.1,
1125,1951-04-30,0.055,16.1,
1156,1951-05-31,0.055,16.1,
1186,1951-06-30,0.071,28.09,
1217,1951-07-31,0.071,28.09,
1248,1951-08-31,0.071,28.09,
1278,1951-09-30,0.085,38.58,
1309,1951-10-31,0.085,38.58,
1339,1951-11-30,0.085,38.58,
1370,1951-12-31,0.009,-18.35,
1401,1952-01-31,0.009,-18.35,
1430,1952-02-29,0.009,-18.35,
1461,1952-03-31,0.043,7.12,
1491,1952-04-30,0.043,7.12,
1522,1952-05-31,0.043,7.12,
1552,1952-06-30,0.009,-18.35,
1583,1952-07-31,0.009,-18.35,
1614,1952-08-31,0.009,-18.35,
1644,1952-09-30,0.029,-3.37,
1675,1952-10-31,0.029,-3.37,
1705,1952-11-30,0.029,-3.37,
1736,1952-12-31,0.138,78.28,
1767,1953-01-31,0.138,78.28,
1795,1953-02-28,0.138,78.28,
1826,1953-03-31,0.076,31.84,
1856,1953-04-30,0.076,31.84,
1887,1953-05-31,0.076,31.84,
1917,1953-06-30,0.031,-1.87,
1948,1953-07-31,0.031,-1.87,
1979,1953-08-31,0.031,-1.87,
2009,1953-09-30,-0.022,-41.57,
2040,1953-10-31,-0.022,-41.57,
2070,1953-11-30,-0.022,-41.57,
2101,1953-12-31,-0.059,-69.29,
2132,1954-01-31,-0.059,-69.29,
2160,1954-02-28,-0.059,-69.29,
2191,1954-03-31,-0.019,-39.33,
2221,1954-04-30,-0.019,-39.33,
2252,1954-05-31,-0.019,-39.33,
2282,1954-06-30,0.004,-22.1,
2313,1954-07-31,0.004,-22.1,
2344,1954-08-31,0.004,-22.1,
2374,1954-09-30,0.046,9.36,
2405,1954-10-31,0.046,9.36,
2435,1954-11-30,0.046,9.36,
2466,1954-12-31,0.081,35.58,
2497,1955-01-31,0.081,35.58,
2525,1955-02-28,0.081,35.58,
2556,1955-03-31,0.119,64.04,
2586,1955-04-30,0.119,64.04,
2617,1955-05-31,0.119,64.04,
2647,1955-06-30,0.067,25.09,
2678,1955-07-31,0.067,25.09,
2709,1955-08-31,0.067,25.09,
2739,1955-09-30,0.055,16.1,
2770,1955-10-31,0.055,16.1,
2800,1955-11-30,0.055,16.1,
2831,1955-12-31,0.024,-7.12,
2862,1956-01-31,0.024,-7.12,
2891,1956-02-29,0.024,-7.12,
2922,1956-03-31,-0.015,-36.33,
2952,1956-04-30,-0.015,-36.33,
2983,1956-05-31,-0.015,-36.33,
3013,1956-06-30,0.033,-0.37,
3044,1956-07-31,0.033,-0.37,
3075,1956-08-31,0.033,-0.37,
3105,1956-09-30,-0.004,-28.09,
3136,1956-10-31,-0.004,-28.09,
3166,1956-11-30,-0.004,-28.09,
3197,1956-12-31,0.067,25.09,
3198,1957-01-01,0.067,25.09,
3228,1957-01-31,0.067,25.09,
3229,1957-02-01,0.067,25.09,
3256,1957-02-28,0.067,25.09,
3257,1957-03-01,0.067,25.09,
3287,1957-03-31,0.026,-5.62,
3288,1957-04-01,0.026,-5.62,
3317,1957-04-30,0.026,-5.62,
3318,1957-05-01,0.026,-5.62,
3348,1957-05-31,0.026,-5.62,
3349,1957-06-01,0.026,-5.62,
3378,1957-06-30,-0.009,-31.84,
3379,1957-07-01,-0.009,-31.84,
3409,1957-07-31,-0.009,-31.84,
3410,1957-08-01,-0.009,-31.84,
3440,1957-08-31,-0.009,-31.84,
3441,1957-09-01,-0.009,-31.84,
3470,1957-09-30,0.04,4.87,
3471,1957-10-01,0.04,4.87,
3501,1957-10-31,0.04,4.87,
3502,1957-11-01,0.04,4.87,
3531,1957-11-30,0.04,4.87,
3532,1957-12-01,0.04,4.87,
3562,1957-12-31,-0.041,-55.81,
3563,1958-01-01,-0.041,-55.81,
3593,1958-01-31,-0.041,-55.81,
3594,1958-02-01,-0.041,-55.81,
3621,1958-02-28,-0.041,-55.81,
3622,1958-03-01,-0.041,-55.81,
3652,1958-03-31,-0.1,-100.0,
3653,1958-04-01,-0.1,-100.0,
3682,1958-04-30,-0.1,-100.0,
3683,1958-05-01,-0.1,-100.0,
3713,1958-05-31,-0.1,-100.0,
3714,1958-06-01,-0.1,-100.0,
3743,1958-06-30,0.027,-4.87,
3744,1958-07-01,0.027,-4.87,
3774,1958-07-31,0.027,-4.87,
3775,1958-08-01,0.027,-4.87,
3805,1958-08-31,0.027,-4.87,
3806,1958-09-01,0.027,-4.87,
3835,1958-09-30,0.096,46.82,
3836,1958-10-01,0.096,46.82,
3866,1958-10-31,0.096,46.82,
3867,1958-11-01,0.096,46.82,
3896,1958-11-30,0.096,46.82,
3897,1958-12-01,0.096,46.82,
3927,1958-12-31,0.097,47.57,
3928,1959-01-01,0.097,47.57,
3958,1959-01-31,0.097,47.57,
3959,1959-02-01,0.097,47.57,
3986,1959-02-28,0.097,47.57,
3987,1959-03-01,0.097,47.57,
4017,1959-03-31,0.079,34.08,
4018,1959-04-01,0.079,34.08,
4047,1959-04-30,0.079,34.08,
4048,1959-05-01,0.079,34.08,
4078,1959-05-31,0.079,34.08,
4079,1959-06-01,0.079,34.08,
4108,1959-06-30,0.093,44.57,
4109,1959-07-01,0.093,44.57,
4139,1959-07-31,0.093,44.57,
4140,1959-08-01,0.093,44.57,
4170,1959-08-31,0.093,44.57,
4171,1959-09-01,0.093,44.57,
4200,1959-09-30,0.003,-22.85,
4201,1959-10-01,0.003,-22.85,
4231,1959-10-31,0.003,-22.85,
4232,1959-11-01,0.003,-22.85,
4261,1959-11-30,0.003,-22.85,
4262,1959-12-01,0.003,-22.85,
4292,1959-12-31,0.011,-16.85,
4293,1960-01-01,0.011,-16.85,
4323,1960-01-31,0.011,-16.85,
4324,1960-02-01,0.011,-16.85,
4352,1960-02-29,0.011,-16.85,
4353,1960-03-01,0.011,-16.85,
4383,1960-03-31,0.093,44.57,
4384,1960-04-01,0.093,44.57,
4413,1960-04-30,0.093,44.57,
4414,1960-05-01,0.093,44.57,
4444,1960-05-31,0.093,44.57,
4445,1960-06-01,0.093,44.57,
4474,1960-06-30,-0.021,-40.82,
4475,1960-07-01,-0.021,-40.82,
4505,1960-07-31,-0.021,-40.82,
4506,1960-08-01,-0.021,-40.82,
4536,1960-08-31,-0.021,-40.82,
4537,1960-09-01,-0.021,-40.82,
4566,1960-09-30,0.02,-10.11,
4567,1960-10-01,0.02,-10.11,
4597,1960-10-31,0.02,-10.11,
4598,1960-11-01,0.02,-10.11,
4627,1960-11-30,0.02,-10.11,
4628,1960-12-01,0.02,-10.11,
4658,1960-12-31,-0.05,-62.55,
4659,1961-01-01,-0.05,-62.55,
4689,1961-01-31,-0.05,-62.55,
4690,1961-02-01,-0.05,-62.55,
4717,1961-02-28,-0.05,-62.55,
4718,1961-03-01,-0.05,-62.55,
4748,1961-03-31,0.027,-4.87,
4749,1961-04-01,0.027,-4.87,
4778,1961-04-30,0.027,-4.87,
4779,1961-05-01,0.027,-4.87,
4809,1961-05-31,0.027,-4.87,
4810,1961-06-01,0.027,-4.87,
4839,1961-06-30,0.07,27.34,
4840,1961-07-01,0.07,27.34,
4870,1961-07-31,0.07,27.34,
4871,1961-08-01,0.07,27.34,
4901,1961-08-31,0.07,27.34,
4902,1961-09-01,0.07,27.34,
4931,1961-09-30,0.079,34.08,
4932,1961-10-01,0.079,34.08,
4962,1961-10-31,0.079,34.08,
4963,1961-11-01,0.079,34.08,
4992,1961-11-30,0.079,34.08,
4993,1961-12-01,0.079,34.08,
5023,1961-12-31,0.081,35.58,
5024,1962-01-01,0.081,35.58,
5054,1962-01-31,0.081,35.58,
5055,1962-02-01,0.081,35.58,
5082,1962-02-28,0.081,35.58,
5083,1962-03-01,0.081,35.58,
5113,1962-03-31,0.073,29.59,
5114,1962-04-01,0.073,29.59,
5143,1962-04-30,0.073,29.59,
5144,1962-05-01,0.073,29.59,
5174,1962-05-31,0.073,29.59,
5175,1962-06-01,0.073,29.59,
5204,1962-06-30,0.037,2.62,
5205,1962-07-01,0.037,2.62,
5235,1962-07-31,0.037,2.62,
5236,1962-08-01,0.037,2.62,
5266,1962-08-31,0.037,2.62,
5267,1962-09-01,0.037,2.62,
5296,1962-09-30,0.05,12.36,
5297,1962-10-01,0.05,12.36,
5327,1962-10-31,0.05,12.36,
5328,1962-11-01,0.05,12.36,
5357,1962-11-30,0.05,12.36,
5358,1962-12-01,0.05,12.36,
5388,1962-12-31,0.013,-15.36,
5389,1963-01-01,0.013,-15.36,
5419,1963-01-31,0.013,-15.36,
5420,1963-02-01,0.013,-15.36,
5447,1963-02-28,0.013,-15.36,
5448,1963-03-01,0.013,-15.36,
5478,1963-03-31,0.044,7.87,
5479,1963-04-01,0.044,7.87,
5508,1963-04-30,0.044,7.87,
5509,1963-05-01,0.044,7.87,
5539,1963-05-31,0.044,7.87,
5540,1963-06-01,0.044,7.87,
5569,1963-06-30,0.046,9.36,
5570,1963-07-01,0.046,9.36,
5600,1963-07-31,0.046,9.36,
5601,1963-08-01,0.046,9.36,
5631,1963-08-31,0.046,9.36,
5632,1963-09-01,0.046,9.36,
5661,1963-09-30,0.091,43.07,
5662,1963-10-01,0.091,43.07,
5692,1963-10-31,0.091,43.07,
5693,1963-11-01,0.091,43.07,
5722,1963-11-30,0.091,43.07,
5723,1963-12-01,0.091,43.07,
5753,1963-12-31,0.026,-5.62,
5754,1964-01-01,0.026,-5.62,
5784,1964-01-31,0.026,-5.62,
5785,1964-02-01,0.026,-5.62,
5813,1964-02-29,0.026,-5.62,
5814,1964-03-01,0.026,-5.62,
5844,1964-03-31,0.087,40.07,
5845,1964-04-01,0.087,40.07,
5874,1964-04-30,0.087,40.07,
5875,1964-05-01,0.087,40.07,
5905,1964-05-31,0.087,40.07,
5906,1964-06-01,0.087,40.07,
5935,1964-06-30,0.044,7.87,
5936,1964-07-01,0.044,7.87,
5966,1964-07-31,0.044,7.87,
5967,1964-08-01,0.044,7.87,
5997,1964-08-31,0.044,7.87,
5998,1964-09-01,0.044,7.87,
6027,1964-09-30,0.064,22.85,
6028,1964-10-01,0.064,22.85,
6058,1964-10-31,0.064,22.85,
6059,1964-11-01,0.064,22.85,
6088,1964-11-30,0.064,22.85,
6089,1964-12-01,0.064,22.85,
6119,1964-12-31,0.012,-16.1,
6120,1965-01-01,0.012,-16.1,
6150,1965-01-31,0.012,-16.1,
6151,1965-02-01,0.012,-16.1,
6178,1965-02-28,0.012,-16.1,
6179,1965-03-01,0.012,-16.1,
6209,1965-03-31,0.1,49.81,
6210,1965-04-01,0.1,49.81,
6239,1965-04-30,0.1,49.81,
6240,1965-05-01,0.1,49.81,
6270,1965-05-31,0.1,49.81,
6271,1965-06-01,0.1,49.81,
6300,1965-06-30,0.051,13.11,
6301,1965-07-01,0.051,13.11,
6331,1965-07-31,0.051,13.11,
6332,1965-08-01,0.051,13.11,
6362,1965-08-31,0.051,13.11,
6363,1965-09-01,0.051,13.11,
6392,1965-09-30,0.092,43.82,
6393,1965-10-01,0.092,43.82,
6423,1965-10-31,0.092,43.82,
6424,1965-11-01,0.092,43.82,
6453,1965-11-30,0.092,43.82,
6454,1965-12-01,0.092,43.82,
6484,1965-12-31,0.095,46.07,
6485,1966-01-01,0.095,46.07,
6515,1966-01-31,0.095,46.07,
6516,1966-02-01,0.095,46.07,
6543,1966-02-28,0.095,46.07,
6544,1966-03-01,0.095,46.07,
6574,1966-03-31,0.101,50.56,
6575,1966-04-01,0.101,50.56,
6604,1966-04-30,0.101,50.56,
6605,1966-05-01,0.101,50.56,
6635,1966-05-31,0.101,50.56,
6636,1966-06-01,0.101,50.56,
6665,1966-06-30,0.014,-14.61,
6666,1966-07-01,0.014,-14.61,
6696,1966-07-31,0.014,-14.61,
6697,1966-08-01,0.014,-14.61,
6727,1966-08-31,0.014,-14.61,
6728,1966-09-01,0.014,-14.61,
6757,1966-09-30,0.034,0.37,
6758,1966-10-01,0.034,0.37,
6788,1966-10-31,0.034,0.37,
6789,1966-11-01,0.034,0.37,
6818,1966-11-30,0.034,0.37,
6819,1966-12-01,0.034,0.37,
6849,1966-12-31,0.033,-0.37,
6850,1967-01-01,0.033,-0.37,
6880,1967-01-31,0.033,-0.37,
6881,1967-02-01,0.033,-0.37,
6908,1967-02-28,0.033,-0.37,
6909,1967-03-01,0.033,-0.37,
6939,1967-03-31,0.036,1.87,
6940,1967-04-01,0.036,1.87,
6969,1967-04-30,0.036,1.87,
6970,1967-05-01,0.036,1.87,
7000,1967-05-31,0.036,1.87,
7001,1967-06-01,0.036,1.87,
7030,1967-06-30,0.002,-23.6,
7031,1967-07-01,0.002,-23.6,
7061,1967-07-31,0.002,-23.6,
7062,1967-08-01,0.002,-23.6,
7092,1967-08-31,0.002,-23.6,
7093,1967-09-01,0.002,-23.6,
7122,1967-09-30,0.038,3.37,
7123,1967-10-01,0.038,3.37,
7153,1967-10-31,0.038,3.37,
7154,1967-11-01,0.038,3.37,
7183,1967-11-30,0.038,3.37,
7184,1967-12-01,0.038,3.37,
7214,1967-12-31,0.03,-2.62,
7215,1968-01-01,0.03,-2.62,
7245,1968-01-31,0.03,-2.62,
7246,1968-02-01,0.03,-2.62,
7274,1968-02-29,0.03,-2.62,
7275,1968-03-01,0.03,-2.62,
7305,1968-03-31,0.084,37.83,
7306,1968-04-01,0.084,37.83,
7335,1968-04-30,0.084,37.83,
7336,1968-05-01,0.084,37.83,
7366,1968-05-31,0.084,37.83,
7367,1968-06-01,0.084,37.83,
7396,1968-06-30,0.069,26.59,
7397,1968-07-01,0.069,26.59,
7427,1968-07-31,0.069,26.59,
7428,1968-08-01,0.069,26.59,
7458,1968-08-31,0.069,26.59,
7459,1968-09-01,0.069,26.59,
7488,1968-09-30,0.031,-1.87,
7489,1968-10-01,0.031,-1.87,
7519,1968-10-31,0.031,-1.87,
7520,1968-11-01,0.031,-1.87,
7549,1968-11-30,0.031,-1.87,
7550,1968-12-01,0.031,-1.87,
7580,1968-12-31,0.016,-13.11,
7581,1969-01-01,0.016,-13.11,
7611,1969-01-31,0.016,-13.11,
7612,1969-02-01,0.016,-13.11,
7639,1969-02-28,0.016,-13.11,
7640,1969-03-01,0.016,-13.11,
7670,1969-03-31,0.064,22.85,
7671,1969-04-01,0.064,22.85,
7700,1969-04-30,0.064,22.85,
7701,1969-05-01,0.064,22.85,
7731,1969-05-31,0.064,22.85,
7732,1969-06-01,0.064,22.85,
7761,1969-06-30,0.012,-16.1,
7762,1969-07-01,0.012,-16.1,
7792,1969-07-31,0.012,-16.1,
7793,1969-08-01,0.012,-16.1,
7823,1969-08-31,0.012,-16.1,
7824,1969-09-01,0.012,-16.1,
7853,1969-09-30,0.027,-4.87,
7854,1969-10-01,0.027,-4.87,
7884,1969-10-31,0.027,-4.87,
7885,1969-11-01,0.027,-4.87,
7914,1969-11-30,0.027,-4.87,
7915,1969-12-01,0.027,-4.87,
7945,1969-12-31,-0.019,-39.33,
7946,1970-01-01,-0.019,-39.33,
7976,1970-01-31,-0.019,-39.33,
7977,1970-02-01,-0.019,-39.33,
8004,1970-02-28,-0.019,-39.33,
8005,1970-03-01,-0.019,-39.33,
8035,1970-03-31,-0.006,-29.59,
8036,1970-04-01,-0.006,-29.59,
8065,1970-04-30,-0.006,-29.59,
8066,1970-05-01,-0.006,-29.59,
8096,1970-05-31,-0.006,-29.59,
8097,1970-06-01,-0.006,-29.59,
8126,1970-06-30,0.006,-20.6,
8127,1970-07-01,0.006,-20.6,
8157,1970-07-31,0.006,-20.6,
8158,1970-08-01,0.006,-20.6,
8188,1970-08-31,0.006,-20.6,
8189,1970-09-01,0.006,-20.6,
8218,1970-09-30,0.037,2.62,
8219,1970-10-01,0.037,2.62,
8249,1970-10-31,0.037,2.62,
8250,1970-11-01,0.037,2.62,
8279,1970-11-30,0.037,2.62,
8280,1970-12-01,0.037,2.62,
8310,1970-12-31,-0.042,-56.55,
8311,1971-01-01,-0.042,-56.55,
8341,1971-01-31,-0.042,-56.55,
8342,1971-02-01,-0.042,-56.55,
8369,1971-02-28,-0.042,-56.55,
8370,1971-03-01,-0.042,-56.55,
8400,1971-03-31,0.113,59.55,
8401,1971-04-01,0.113,59.55,
8430,1971-04-30,0.113,59.55,
8431,1971-05-01,0.113,59.55,
8461,1971-05-31,0.113,59.55,
8462,1971-06-01,0.113,59.55,
8491,1971-06-30,0.022,-8.61,
8492,1971-07-01,0.022,-8.61,
8522,1971-07-31,0.022,-8.61,
8523,1971-08-01,0.022,-8.61,
8553,1971-08-31,0.022,-8.61,
8554,1971-09-01,0.022,-8.61,
8583,1971-09-30,0.033,-0.37,
8584,1971-10-01,0.033,-0.37,
8614,1971-10-31,0.033,-0.37,
8615,1971-11-01,0.033,-0.37,
8644,1971-11-30,0.033,-0.37,
8645,1971-12-01,0.033,-0.37,
8675,1971-12-31,0.009,-18.35,
8676,1972-01-01,0.009,-18.35,
8706,1972-01-31,0.009,-18.35,
8707,1972-02-01,0.009,-18.35,
8735,1972-02-29,0.009,-18.35,
8736,1972-03-01,0.009,-18.35,
8766,1972-03-31,0.076,31.84,
8767,1972-04-01,0.076,31.84,
8796,1972-04-30,0.076,31.84,
8797,1972-05-01,0.076,31.84,
8827,1972-05-31,0.076,31.84,
8828,1972-06-01,0.076,31.84,
8857,1972-06-30,0.094,45.32,
8858,1972-07-01,0.094,45.32,
8888,1972-07-31,0.094,45.32,
8889,1972-08-01,0.094,45.32,
8919,1972-08-31,0.094,45.32,
8920,1972-09-01,0.094,45.32,
8949,1972-09-30,0.038,3.37,
8950,1972-10-01,0.038,3.37,
8980,1972-10-31,0.038,3.37,
8981,1972-11-01,0.038,3.37,
9010,1972-11-30,0.038,3.37,
9011,1972-12-01,0.038,3.37,
9041,1972-12-31,0.069,26.59,
9042,1973-01-01,0.069,26.59,
9072,1973-01-31,0.069,26.59,
9073,1973-02-01,0.069,26.59,
9100,1973-02-28,0.069,26.59,
9101,1973-03-01,0.069,26.59,
9131,1973-03-31,0.103,52.06,
9132,1973-04-01,0.103,52.06,
9161,1973-04-30,0.103,52.06,
9162,1973-05-01,0.103,52.06,
9192,1973-05-31,0.103,52.06,
9193,1973-06-01,0.103,52.06,
9222,1973-06-30,0.044,7.87,
9223,1973-07-01,0.044,7.87,
9253,1973-07-31,0.044,7.87,
9254,1973-08-01,0.044,7.87,
9284,1973-08-31,0.044,7.87,
9285,1973-09-01,0.044,7.87,
9314,1973-09-30,-0.021,-40.82,
9315,1973-10-01,-0.021,-40.82,
9345,1973-10-31,-0.021,-40.82,
9346,1973-11-01,-0.021,-40.82,
9375,1973-11-30,-0.021,-40.82,
9376,1973-12-01,-0.021,-40.82,
9406,1973-12-31,0.038,3.37,
9407,1974-01-01,0.038,3.37,
9437,1974-01-31,0.038,3.37,
9438,1974-02-01,0.038,3.37,
9465,1974-02-28,0.038,3.37,
9466,1974-03-01,0.038,3.37,
9496,1974-03-31,-0.034,-50.56,
9497,1974-04-01,-0.034,-50.56,
9526,1974-04-30,-0.034,-50.56,
9527,1974-05-01,-0.034,-50.56,
9557,1974-05-31,-0.034,-50.56,
9558,1974-06-01,-0.034,-50.56,
9587,1974-06-30,0.01,-17.6,
9588,1974-07-01,0.01,-17.6,
9618,1974-07-31,0.01,-17.6,
9619,1974-08-01,0.01,-17.6,
9649,1974-08-31,0.01,-17.6,
9650,1974-09-01,0.01,-17.6,
9679,1974-09-30,-0.037,-52.81,
9680,1974-10-01,-0.037,-52.81,
9710,1974-10-31,-0.037,-52.81,
9711,1974-11-01,-0.037,-52.81,
9740,1974-11-30,-0.037,-52.81,
9741,1974-12-01,-0.037,-52.81,
9771,1974-12-31,-0.015,-36.33,
9772,1975-01-01,-0.015,-36.33,
9802,1975-01-31,-0.015,-36.33,
9803,1975-02-01,-0.015,-36.33,
9830,1975-02-28,-0.015,-36.33,
9831,1975-03-01,-0.015,-36.33,
9861,1975-03-31,-0.048,-61.05,
9862,1975-04-01,-0.048,-61.05,
9891,1975-04-30,-0.048,-61.05,
9892,1975-05-01,-0.048,-61.05,
9922,1975-05-31,-0.048,-61.05,
9923,1975-06-01,-0.048,-61.05,
9952,1975-06-30,0.029,-3.37,
9953,1975-07-01,0.029,-3.37,
9983,1975-07-31,0.029,-3.37,
9984,1975-08-01,0.029,-3.37,
10014,1975-08-31,0.029,-3.37,
10015,1975-09-01,0.029,-3.37,
10044,1975-09-30,0.07,27.34,
10045,1975-10-01,0.07,27.34,
10075,1975-10-31,0.07,27.34,
10076,1975-11-01,0.07,27.34,
10105,1975-11-30,0.07,27.34,
10106,1975-12-01,0.07,27.34,
10136,1975-12-31,0.055,16.1,
10137,1976-01-01,0.055,16.1,
10167,1976-01-31,0.055,16.1,
10168,1976-02-01,0.055,16.1,
10196,1976-02-29,0.055,16.1,
10197,1976-03-01,0.055,16.1,
10227,1976-03-31,0.093,44.57,
10228,1976-04-01,0.093,44.57,
10257,1976-04-30,0.093,44.57,
10258,1976-05-01,0.093,44.57,
10288,1976-05-31,0.093,44.57,
10289,1976-06-01,0.093,44.57,
10318,1976-06-30,0.03,-2.62,
10319,1976-07-01,0.03,-2.62,
10349,1976-07-31,0.03,-2.62,
10350,1976-08-01,0.03,-2.62,
10380,1976-08-31,0.03,-2.62,
10381,1976-09-01,0.03,-2.62,
10410,1976-09-30,0.022,-8.61,
10411,1976-10-01,0.022,-8.61,
10441,1976-10-31,0.022,-8.61,
10442,1976-11-01,0.022,-8.61,
10471,1976-11-30,0.022,-8.61,
10472,1976-12-01,0.022,-8.61,
10502,1976-12-31,0.029,-3.37,
10503,1977-01-01,0.029,-3.37,
10533,1977-01-31,0.029,-3.37,
10534,1977-02-01,0.029,-3.37,
10561,1977-02-28,0.029,-3.37,
10562,1977-03-01,0.029,-3.37,
10592,1977-03-31,0.048,10.86,
10593,1977-04-01,0.048,10.86,
10622,1977-04-30,0.048,10.86,
10623,1977-05-01,0.048,10.86,
10653,1977-05-31,0.048,10.86,
10654,1977-06-01,0.048,10.86,
10683,1977-06-30,0.08,34.83,
10684,1977-07-01,0.08,34.83,
10714,1977-07-31,0.08,34.83,
10715,1977-08-01,0.08,34.83,
10745,1977-08-31,0.08,34.83,
10746,1977-09-01,0.08,34.83,
10775,1977-09-30,0.074,30.34,
10776,1977-10-01,0.074,30.34,
10806,1977-10-31,0.074,30.34,
10807,1977-11-01,0.074,30.34,
10836,1977-11-30,0.074,30.34,
10837,1977-12-01,0.074,30.34,
10867,1977-12-31,0.0,-25.09,
10868,1978-01-01,0.0,-25.09,
10898,1978-01-31,0.0,-25.09,
10899,1978-02-01,0.0,-25.09,
10926,1978-02-28,0.0,-25.09,
10927,1978-03-01,0.0,-25.09,
10957,1978-03-31,0.013,-15.36,
10958,1978-04-01,0.013,-15.36,
10987,1978-04-30,0.013,-15.36,
10988,1978-05-01,0.013,-15.36,
11018,1978-05-31,0.013,-15.36,
11019,1978-06-01,0.013,-15.36,
11048,1978-06-30,0.164,97.75,
11049,1978-07-01,0.164,97.75,
11079,1978-07-31,0.164,97.75,
11080,1978-08-01,0.164,97.75,
11110,1978-08-31,0.164,97.75,
11111,1978-09-01,0.164,97.75,
11140,1978-09-30,0.041,5.62,
11141,1978-10-01,0.041,5.62,
11171,1978-10-31,0.041,5.62,
11172,1978-11-01,0.041,5.62,
11201,1978-11-30,0.041,5.62,
11202,1978-12-01,0.041,5.62,
11232,1978-12-31,0.055,16.1,
11233,1979-01-01,0.055,16.1,
11263,1979-01-31,0.055,16.1,
11264,1979-02-01,0.055,16.1,
11291,1979-02-28,0.055,16.1,
11292,1979-03-01,0.055,16.1,
11322,1979-03-31,0.007,-19.85,
11323,1979-04-01,0.007,-19.85,
11352,1979-04-30,0.007,-19.85,
11353,1979-05-01,0.007,-19.85,
11383,1979-05-31,0.007,-19.85,
11384,1979-06-01,0.007,-19.85,
11413,1979-06-30,0.004,-22.1,
11414,1979-07-01,0.004,-22.1,
11444,1979-07-31,0.004,-22.1,
11445,1979-08-01,0.004,-22.1,
11475,1979-08-31,0.004,-22.1,
11476,1979-09-01,0.004,-22.1,
11505,1979-09-30,0.03,-2.62,
11506,1979-10-01,0.03,-2.62,
11536,1979-10-31,0.03,-2.62,
11537,1979-11-01,0.03,-2.62,
11566,1979-11-30,0.03,-2.62,
11567,1979-12-01,0.03,-2.62,
11597,1979-12-31,0.01,-17.6,
11598,1980-01-01,0.01,-17.6,
11628,1980-01-31,0.01,-17.6,
11629,1980-02-01,0.01,-17.6,
11657,1980-02-29,0.01,-17.6,
11658,1980-03-01,0.01,-17.6,
11688,1980-03-31,0.013,-15.36,
11689,1980-04-01,0.013,-15.36,
11718,1980-04-30,0.013,-15.36,
11719,1980-05-01,0.013,-15.36,
11749,1980-05-31,0.013,-15.36,
11750,1980-06-01,0.013,-15.36,
11779,1980-06-30,-0.08,-85.02,
11780,1980-07-01,-0.08,-85.02,
11810,1980-07-31,-0.08,-85.02,
11811,1980-08-01,-0.08,-85.02,
11841,1980-08-31,-0.08,-85.02,
11842,1980-09-01,-0.08,-85.02,
11871,1980-09-30,-0.005,-28.84,
11872,1980-10-01,-0.005,-28.84,
11902,1980-10-31,-0.005,-28.84,
11903,1980-11-01,-0.005,-28.84,
11932,1980-11-30,-0.005,-28.84,
11933,1980-12-01,-0.005,-28.84,
11963,1980-12-31,0.077,32.58,
11964,1981-01-01,0.077,32.58,
11994,1981-01-31,0.077,32.58,
11995,1981-02-01,0.077,32.58,
12022,1981-02-28,0.077,32.58,
12023,1981-03-01,0.077,32.58,
12053,1981-03-31,0.081,35.58,
12054,1981-04-01,0.081,35.58,
12083,1981-04-30,0.081,35.58,
12084,1981-05-01,0.081,35.58,
12114,1981-05-31,0.081,35.58,
12115,1981-06-01,0.081,35.58,
12144,1981-06-30,-0.029,-46.82,
12145,1981-07-01,-0.029,-46.82,
12175,1981-07-31,-0.029,-46.82,
12176,1981-08-01,-0.029,-46.82,
12206,1981-08-31,-0.029,-46.82,
12207,1981-09-01,-0.029,-46.82,
12236,1981-09-30,0.049,11.61,
12237,1981-10-01,0.049,11.61,
12267,1981-10-31,0.049,11.61,
12268,1981-11-01,0.049,11.61,
12297,1981-11-30,0.049,11.61,
12298,1981-12-01,0.049,11.61,
12328,1981-12-31,-0.043,-57.3,
12329,1982-01-01,-0.043,-57.3,
12359,1982-01-31,-0.043,-57.3,
12360,1982-02-01,-0.043,-57.3,
12387,1982-02-28,-0.043,-57.3,
12388,1982-03-01,-0.043,-57.3,
12418,1982-03-31,-0.061,-70.79,
