Day,Date,ISM Manufacturing,normalized,predicted
0,1948-03-31,43.3,-42.2,
30,1948-04-30,45.4,-33.47,
61,1948-05-31,49.5,-16.42,
91,1948-06-30,53.0,-1.87,
122,1948-07-31,48.4,-21.0,
153,1948-08-31,45.1,-34.72,
183,1948-09-30,42.1,-47.19,
214,1948-10-31,47.2,-25.99,
244,1948-11-30,42.4,-45.95,
275,1948-12-31,35.0,-76.72,
306,1949-01-31,32.9,-85.45,
334,1949-02-28,31.3,-92.1,
365,1949-03-31,34.5,-78.79,
395,1949-04-30,35.5,-74.64,
426,1949-05-31,32.6,-86.69,
456,1949-06-30,31.6,-90.85,
487,1949-07-31,39.0,-60.08,
518,1949-08-31,47.0,-26.82,
548,1949-09-30,52.3,-4.78,
579,1949-10-31,51.0,-10.19,
609,1949-11-30,51.0,-10.19,
640,1949-12-31,57.3,16.01,
671,1950-01-31,59.1,23.49,
699,1950-02-28,60.5,29.31,
730,1950-03-31,62.1,35.97,
760,1950-04-30,68.1,60.91,
791,1950-05-31,74.7,88.36,
821,1950-06-30,76.6,96.26,
852,1950-07-31,77.5,100.0,
883,1950-08-31,75.8,92.93,
913,1950-09-30,68.1,60.91,
944,1950-10-31,59.2,23.91,
974,1950-11-30,63.1,40.12,
1005,1950-12-31,67.1,56.76,
1036,1951-01-31,67.8,59.67,
1064,1951-02-28,69.3,65.9,
1095,1951-03-31,65.5,50.1,
1125,1951-04-30,53.5,0.21,
1156,1951-05-31,50.7,-11.43,
1186,1951-06-30,45.5,-33.06,
1217,1951-07-31,42.1,-47.19,
1248,1951-08-31,43.6,-40.96,
1278,1951-09-30,48.1,-22.25,
1309,1951-10-31,49.6,-16.01,
1339,1951-11-30,47.2,-25.99,
1370,1951-12-31,46.5,-28.9,
1401,1952-01-31,44.7,-36.38,
1430,1952-02-29,41.8,-48.44,
1461,1952-03-31,40.0,-55.93,
1491,1952-04-30,36.7,-69.65,
1522,1952-05-31,39.5,-58.0,
1552,1952-06-30,43.3,-42.2,
1583,1952-07-31,48.3,-21.41,
1614,1952-08-31,60.4,28.9,
1644,1952-09-30,56.1,11.02,
1675,1952-10-31,56.2,11.43,
1705,1952-11-30,56.8,13.93,
1736,1952-12-31,55.8,9.77,
1767,1953-01-31,59.4,24.74,
1795,1953-02-28,55.4,8.11,
1826,1953-03-31,50.5,-12.27,
1856,1953-04-30,51.1,-9.77,
1887,1953-05-31,48.9,-18.92,
1917,1953-06-30,48.5,-20.58,
1948,1953-07-31,46.3,-29.73,
1979,1953-08-31,43.5,-41.37,
2009,1953-09-30,40.2,-55.09,
2040,1953-10-31,37.4,-66.74,
2070,1953-11-30,36.9,-68.81,
2101,1953-12-31,35.6,-74.22,
2132,1954-01-31,37.4,-66.74,
2160,1954-02-28,40.7,-53.01,
2191,1954-03-31,44.7,-36.38,
2221,1954-04-30,47.7,-23.91,
2252,1954-05-31,50.1,-13.93,
2282,1954-06-30,52.1,-5.61,
2313,1954-07-31,51.7,-7.28,
2344,1954-08-31,54.4,3.95,
2374,1954-09-30,53.5,0.21,
2405,1954-10-31,58.2,19.75,
2435,1954-11-30,58.8,22.25,
2466,1954-12-31,63.8,43.04,
2497,1955-01-31,63.0,39.71,
2525,1955-02-28,67.8,59.67,
2556,1955-03-31,67.5,58.42,
2586,1955-04-30,68.7,63.41,
2617,1955-05-31,69.5,66.74,
2647,1955-06-30,63.3,40.96,
2678,1955-07-31,66.2,53.01,
2709,1955-08-31,64.8,47.19,
2739,1955-09-30,62.4,37.21,
2770,1955-10-31,63.7,42.62,
2800,1955-11-30,62.0,35.55,
2831,1955-12-31,65.6,50.52,
2862,1956-01-31,60.2,28.07,
2891,1956-02-29,58.2,19.75,
2922,1956-03-31,57.2,15.59,
2952,1956-04-30,55.9,10.19,
2983,1956-05-31,51.2,-9.36,
3013,1956-06-30,47.7,-23.91,
3044,1956-07-31,44.2,-38.46,
3075,1956-08-31,51.5,-8.11,
3105,1956-09-30,55.5,8.52,
3136,1956-10-31,52.7,-3.12,
3166,1956-11-30,55.0,6.44,
3197,1956-12-31,52.7,-3.12,
3198,1957-01-01,53.6,0.62,
3228,1957-01-31,53.6,0.62,
3229,1957-02-01,51.0,-10.19,
3256,1957-02-28,51.0,-10.19,
3257,1957-03-01,47.5,-24.74,
3287,1957-03-31,47.5,-24.74,
3288,1957-04-01,43.1,-43.04,
3317,1957-04-30,43.1,-43.04,
3318,1957-05-01,43.4,-41.79,
3348,1957-05-31,43.4,-41.79,
3349,1957-06-01,45.9,-31.39,
3378,1957-06-30,45.9,-31.39,
3379,1957-07-01,45.7,-32.22,
3409,1957-07-31,45.7,-32.22,
3410,1957-08-01,45.3,-33.89,
3440,1957-08-31,45.3,-33.89,
3441,1957-09-01,45.8,-31.81,
3470,1957-09-30,45.8,-31.81,
3471,1957-10-01,41.1,-51.35,
3501,1957-10-31,41.1,-51.35,
3502,1957-11-01,40.4,-54.26,
3531,1957-11-30,40.4,-54.26,
3532,1957-12-01,36.8,-69.23,
3562,1957-12-31,36.8,-69.23,
3563,1958-01-01,33.4,-83.37,
3593,1958-01-31,33.4,-83.37,
3594,1958-02-01,37.2,-67.57,
3621,1958-02-28,37.2,-67.57,
3622,1958-03-01,39.8,-56.76,
3652,1958-03-31,39.8,-56.76,
3653,1958-04-01,39.1,-59.67,
3682,1958-04-30,39.1,-59.67,
3683,1958-05-01,46.6,-28.48,
3713,1958-05-31,46.6,-28.48,
3714,1958-06-01,51.4,-8.52,
3743,1958-06-30,51.4,-8.52,
3744,1958-07-01,54.7,5.2,
3774,1958-07-31,54.7,5.2,
3775,1958-08-01,57.3,16.01,
3805,1958-08-31,57.3,16.01,
3806,1958-09-01,59.8,26.4,
3835,1958-09-30,59.8,26.4,
3836,1958-10-01,62.3,36.8,
3866,1958-10-31,62.3,36.8,
3867,1958-11-01,62.7,38.46,
3896,1958-11-30,62.7,38.46,
3897,1958-12-01,60.5,29.31,
3927,1958-12-31,60.5,29.31,
3928,1959-01-01,64.4,45.53,
3958,1959-01-31,64.4,45.53,
3959,1959-02-01,66.9,55.93,
3986,1959-02-28,66.9,55.93,
3987,1959-03-01,67.1,56.76,
4017,1959-03-31,67.1,56.76,
4018,1959-04-01,66.9,55.93,
4047,1959-04-30,66.9,55.93,
4048,1959-05-01,68.2,61.33,
4078,1959-05-31,68.2,61.33,
4079,1959-06-01,64.4,45.53,
4108,1959-06-30,64.4,45.53,
4109,1959-07-01,61.5,33.47,
4139,1959-07-31,61.5,33.47,
4140,1959-08-01,55.1,6.86,
4170,1959-08-31,55.1,6.86,
4171,1959-09-01,48.3,-21.41,
4200,1959-09-30,48.3,-21.41,
4201,1959-10-01,49.7,-15.59,
4231,1959-10-31,49.7,-15.59,
4232,1959-11-01,50.6,-11.85,
4261,1959-11-30,50.6,-11.85,
4262,1959-12-01,58.2,19.75,
4292,1959-12-31,58.2,19.75,
4293,1960-01-01,61.5,33.47,
4323,1960-01-31,61.5,33.47,
4324,1960-02-01,52.3,-4.78,
4352,1960-02-29,52.3,-4.78,
4353,1960-03-01,47.8,-23.49,
4383,1960-03-31,47.8,-23.49,
4384,1960-04-01,45.3,-33.89,
4413,1960-04-30,45.3,-33.89,
4414,1960-05-01,42.6,-45.11,
4444,1960-05-31,42.6,-45.11,
4445,1960-06-01,44.4,-37.63,
4474,1960-06-30,44.4,-37.63,
4475,1960-07-01,43.7,-40.54,
4505,1960-07-31,43.7,-40.54,
4506,1960-08-01,47.6,-24.32,
4536,1960-08-31,47.6,-24.32,
4537,1960-09-01,45.4,-33.47,
4566,1960-09-30,45.4,-33.47,
4567,1960-10-01,46.0,-30.98,
4597,1960-10-31,46.0,-30.98,
4598,1960-11-01,44.3,-38.05,
4627,1960-11-30,44.3,-38.05,
4628,1960-12-01,44.3,-38.05,
4658,1960-12-31,44.3,-38.05,
4659,1961-01-01,43.9,-39.71,
4689,1961-01-31,43.9,-39.71,
4690,1961-02-01,43.6,-40.96,
4717,1961-02-28,43.6,-40.96,
4718,1961-03-01,49.1,-18.09,
4748,1961-03-31,49.1,-18.09,
4749,1961-04-01,57.6,17.26,
4778,1961-04-30,57.6,17.26,
4779,1961-05-01,58.9,22.66,
4809,1961-05-31,58.9,22.66,
4810,1961-06-01,58.1,19.33,
4839,1961-06-30,58.1,19.33,
4840,1961-07-01,58.2,19.75,
4870,1961-07-31,58.2,19.75,
4871,1961-08-01,60.7,30.15,
4901,1961-08-31,60.7,30.15,
4902,1961-09-01,63.0,39.71,
4931,1961-09-30,63.0,39.71,
4932,1961-10-01,62.2,36.38,
4962,1961-10-31,62.2,36.38,
4963,1961-11-01,59.0,23.08,
4992,1961-11-30,59.0,23.08,
4993,1961-12-01,64.2,44.7,
5023,1961-12-31,64.2,44.7,
5024,1962-01-01,60.9,30.98,
5054,1962-01-31,60.9,30.98,
5055,1962-02-01,61.1,31.81,
5082,1962-02-28,61.1,31.81,
5083,1962-03-01,60.6,29.73,
5113,1962-03-31,60.6,29.73,
5114,1962-04-01,55.1,6.86,
5143,1962-04-30,55.1,6.86,
5144,1962-05-01,52.2,-5.2,
5174,1962-05-31,52.2,-5.2,
5175,1962-06-01,50.8,-11.02,
